Species,Sunrise,spray,Sunset,DewPoint,AvgSpeed,Tmin,SeaLevel,Tmax,Cool,StnPressure,WetBulb,ResultSpeed,Tavg,ResultDir,PrecipTotal,CodeSum,Depart,SnowFall,Depth,Heat,WnvPresent
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
2,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,-1.0,0,-1.0,47.0,8.1,51.0,29.78,63.0,0.0,29.16,52.0,6.2,57.0,3.0,0.27,19.0,-1.0,-1.0,-1.0,8.0,1
1,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
2,417.0,0,1923.0,48.0,7.6,47.0,29.79,64.0,0.0,29.1,51.0,5.2,56.0,5.0,0.42,19.0,-9.0,0.0,0.0,9.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
4,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
3,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
3,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,418.0,0,1931.0,69.0,7.1,70.0,30.11,92.0,16.0,29.39,72.0,6.1,81.0,22.0,0.16,74.0,10.0,0.0,0.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
3,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
2,-1.0,0,-1.0,69.0,8.1,73.0,30.09,91.0,17.0,29.45,72.0,7.3,82.0,21.0,-1.0,30.0,-1.0,-1.0,-1.0,0.0,1
1,419.0,0,1931.0,55.0,8.3,56.0,30.13,70.0,0.0,29.41,59.0,7.6,63.0,2.0,0.0,0.0,-8.0,0.0,0.0,2.0,1
1,419.0,0,1931.0,55.0,8.3,56.0,30.13,70.0,0.0,29.41,59.0,7.6,63.0,2.0,0.0,0.0,-8.0,0.0,0.0,2.0,1
2,419.0,0,1931.0,55.0,8.3,56.0,30.13,70.0,0.0,29.41,59.0,7.6,63.0,2.0,0.0,0.0,-8.0,0.0,0.0,2.0,1
2,-1.0,0,-1.0,56.0,8.2,56.0,30.11,71.0,0.0,29.47,60.0,7.4,64.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1
1,-1.0,0,-1.0,56.0,8.2,56.0,30.11,71.0,0.0,29.47,60.0,7.4,64.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1
