Species,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,spray,WnvPresent
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
3,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
3,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
3,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
3,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
3,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
2,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,63.0,51.0,57.0,-1.0,47.0,52.0,8.0,0.0,-1.0,-1.0,19.0,-1.0,-1.0,0.27,29.16,29.78,6.2,3.0,8.1,0,1
1,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
2,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,19.0,0.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
4,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
3,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
3,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,418.0,1931.0,74.0,0.0,0.0,0.16,29.39,30.11,6.1,22.0,7.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
3,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
2,91.0,73.0,82.0,-1.0,69.0,72.0,0.0,17.0,-1.0,-1.0,30.0,-1.0,-1.0,-1.0,29.45,30.09,7.3,21.0,8.1,0,1
1,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,419.0,1931.0,0.0,0.0,0.0,0.0,29.41,30.13,7.6,2.0,8.3,0,1
1,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,419.0,1931.0,0.0,0.0,0.0,0.0,29.41,30.13,7.6,2.0,8.3,0,1
2,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,419.0,1931.0,0.0,0.0,0.0,0.0,29.41,30.13,7.6,2.0,8.3,0,1
2,71.0,56.0,64.0,-1.0,56.0,60.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,29.47,30.11,7.4,2.0,8.2,0,1
1,71.0,56.0,64.0,-1.0,56.0,60.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,29.47,30.11,7.4,2.0,8.2,0,1
