@relation outtrain-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Species numeric
@attribute Tmax numeric
@attribute Tmin numeric
@attribute Tavg numeric
@attribute Depart numeric
@attribute DewPoint numeric
@attribute WetBulb numeric
@attribute Heat numeric
@attribute Cool numeric
@attribute Sunrise numeric
@attribute Sunset numeric
@attribute CodeSum numeric
@attribute Depth numeric
@attribute Water1 numeric
@attribute SnowFall numeric
@attribute PrecipTotal numeric
@attribute StnPressure numeric
@attribute SeaLevel numeric
@attribute ResultSpeed numeric
@attribute ResultDir numeric
@attribute AvgSpeed numeric
@attribute spray numeric
@attribute WnvPresent {0,1}

@data
2,88,65,77,-1,59,66,0,12,-1,-1,30,-1,-1,-1,0,29.44,30.09,5.8,16,7.4,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
3,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
3,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
3,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
3,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
3,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
2,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,63,51,57,-1,47,52,8,0,-1,-1,19,-1,-1,-1,0.27,29.16,29.78,6.2,3,8.1,0,0
1,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
2,64,47,56,-9,48,51,9,0,417,1923,19,0,-1,0,0.42,29.1,29.79,5.2,5,7.6,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
4,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
3,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
3,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,92,70,81,10,69,72,0,16,418,1931,74,0,-1,0,0.16,29.39,30.11,6.1,22,7.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
3,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
2,91,73,82,-1,69,72,0,17,-1,-1,30,-1,-1,-1,-1,29.45,30.09,7.3,21,8.1,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
3,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
3,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
3,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
3,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
2,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
2,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,70,56,63,-8,55,59,2,0,419,1931,0,0,-1,0,0,29.41,30.13,7.6,2,8.3,0,0
1,71,56,64,-1,56,60,1,0,-1,-1,0,-1,-1,-1,-1,29.47,30.11,7.4,2,8.2,0,0
1,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
2,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
1,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
2,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
1,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
3,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
1,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,77,58,68,-1,50,59,0,3,-1,-1,0,-1,-1,-1,0,29.55,30.21,7.4,12,8.5,0,0
2,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
2,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
1,79,53,66,-6,50,58,0,1,420,1931,0,0,-1,0,0,29.49,30.22,5.9,14,8.1,0,0
